input_name,description,delay,source_xlsx
usb_1_right,USB output report byte 6,instant,Android Game Controller.xlsx
usb_1_up,USB output report byte 7,instant,Android Game Controller.xlsx
usb_1_down,USB output report byte 8,instant,Android Game Controller.xlsx
usb_2_left,USB output report byte 1,instant,Android Game Controller.xlsx
usb_2_right,USB output report byte 2,instant,Android Game Controller.xlsx
usb_2_up,USB output report byte 3,instant,Android Game Controller.xlsx
usb_2_down,USB output report byte 4,instant,Android Game Controller.xlsx
usb_1_N,Joystick Outer ring North zone,instant,Android Game Controller.xlsx
usb_1_NE,Joystick Outer ring North East zone,instant,Android Game Controller.xlsx
usb_1_E,Joystick Outer ring East zone,instant,Android Game Controller.xlsx
usb_1_SE,Joystick Outer ring South East zone,instant,Android Game Controller.xlsx
usb_1_S,Joystick Outer ring South zone,instant,Android Game Controller.xlsx
usb_1_SW,Joystick Outer ring South West zone,instant,Android Game Controller.xlsx
usb_1_W,Joystick Outer ring West zone,instant,Android Game Controller.xlsx
usb_1_NW,Joystick Outer ring North West zone,instant,Android Game Controller.xlsx
usb_1_N_inner,Joystick Inner ring North zone,delay,Android Game Controller.xlsx
usb_1_NE_inner,Joystick Inner ring North East zone,delay,Android Game Controller.xlsx
usb_1_E_inner,Joystick Inner ring East zone,delay,Android Game Controller.xlsx
usb_1_SE_inner,Joystick Inner ring South East zone,delay,Android Game Controller.xlsx
usb_1_S_inner,Joystick Inner ring South zone,delay,Android Game Controller.xlsx
usb_1_SW_inner,Joystick Inner ring South West zone,delay,Android Game Controller.xlsx
usb_1_W_inner,Joystick Inner ring West zone,delay,Android Game Controller.xlsx
usb_1_NW_inner,Joystick Inner ring North West zone,delay,Android Game Controller.xlsx
usb_2_N,Joystick Outer ring North zone,instant,Android Game Controller.xlsx
usb_2_NE,Joystick Outer ring North East zone,instant,Android Game Controller.xlsx
usb_2_E,Joystick Outer ring East zone,instant,Android Game Controller.xlsx
usb_2_SE,Joystick Outer ring South East zone,instant,Android Game Controller.xlsx
usb_2_S,Joystick Outer ring South zone,instant,Android Game Controller.xlsx
usb_2_SW,Joystick Outer ring South West zone,instant,Android Game Controller.xlsx
usb_2_W,Joystick Outer ring West zone,instant,Android Game Controller.xlsx
usb_2_NW,Joystick Outer ring North West zone,instant,Android Game Controller.xlsx
usb_2_N_inner,Joystick Inner ring North zone,delay,Android Game Controller.xlsx
usb_2_NE_inner,Joystick Inner ring North East zone,delay,Android Game Controller.xlsx
usb_2_E_inner,Joystick Inner ring East zone,delay,Android Game Controller.xlsx
usb_2_SE_inner,Joystick Inner ring South East zone,delay,Android Game Controller.xlsx
usb_2_S_inner,Joystick Inner ring South zone,delay,Android Game Controller.xlsx
usb_2_SW_inner,Joystick Inner ring South West zone,delay,Android Game Controller.xlsx
usb_2_W_inner,Joystick Inner ring West zone,delay,Android Game Controller.xlsx
usb_2_NW_inner,Joystick Inner ring North West zone,delay,Android Game Controller.xlsx
digital_in_1,Input Jack - Tip to Shield,instant,Android Game Controller.xlsx
digital_in_2,Input Jack - Ring to Shield,instant,Android Game Controller.xlsx
digital_in_3,USB-A Data - to Gnd,instant,Android Game Controller.xlsx
digital_in_4,USB-A Data + to Gnd,instant,Android Game Controller.xlsx
digital_in_5,Lip Jack - Ring to Shield,instant,Android Game Controller.xlsx
digital_in_6,Lip Jack - Tip to Shield,instant,Android Game Controller.xlsx
digital_in_7,Output Jack - Ring to Shield (special order),instant,Android Game Controller.xlsx
digital_in_8,Output Jack - Tip to Shield (special order),instant,Android Game Controller.xlsx
push,Push Switch in Joystick,instant,Bluetooth GamePad Default.xlsx
center,Joystick Center position,instant,Bluetooth GamePad Default.xlsx
mp_left_sip,Mouthpiece Hard Sip Left sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_left_puff,Mouthpiece Hard Puff Left sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_center_sip,Mouthpiece Hard Sip Center sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_center_puff,Mouthpiece Hard Puff Center sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_right_sip,Mouthpiece Hard Sip Right sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_right_puff,Mouthpiece Hard Puff Right sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
mp_left_center_sip,Mouthpiece Hard Sip Left-Center sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_left_center_puff,Mouthpiece Hard Puff Left-Center sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_right_center_sip,Mouthpiece Hard Sip Right-Center sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_right_center_puff,Mouthpiece Hard Puff Right-Center sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_left_right_sip,Mouthpiece Hard Sip Left-Right sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_left_right_puff,Mouthpiece Hard Puff Left-Right sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_triple_sip,Mouthpiece Hard Sip All Three sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_triple_puff,Mouthpiece Hard Puff All Three sip/puff sensors,instant,Bluetooth GamePad Default.xlsx
mp_left_sip_soft,Mouthpiece Soft Sip Left sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_left_puff_soft,Mouthpiece Soft Puff Left sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_center_sip_soft,Mouthpiece Soft Sip Center sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_center_puff_soft,Mouthpiece Soft Puff Center sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_right_sip_soft,Mouthpiece Soft Sip Right sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_right_puff_soft,Mouthpiece Soft Puff Right sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
mp_left_center_sip_soft,Mouthpiece Soft Sip Left-Center sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_left_center_puff_soft,Mouthpiece Soft Puff Left-Center sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_right_center_sip_soft,Mouthpiece Soft Sip Right-Center sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_right_center_puff_soft,Mouthpiece Soft Puff Right-Center sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_left_right_sip_soft,Mouthpiece Soft Sip Left-Right sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_left_right_puff_soft,Mouthpiece Soft Puff Left-Right sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_triple_sip_soft,Mouthpiece Soft Sip All Three sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
mp_triple_puff_soft,Mouthpiece Soft Puff All Three sip/puff sensors,delay,Bluetooth GamePad Default.xlsx
right_sip,Hard Sip Right sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
right_puff,Hard Puff Right sip/puff sensor,instant,Bluetooth GamePad Default.xlsx
right_sip_soft,Soft Sip Right sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
right_puff_soft,Soft Puff Right sip/puff sensor,delay,Bluetooth GamePad Default.xlsx
lip,Lower Lip Position sensor,instant,Bluetooth GamePad Default.xlsx
left,Joystick Left Analog value,instant,Bluetooth GamePad Default.xlsx
right,Joystick Right Analog value,instant,Bluetooth GamePad Default.xlsx
up,Joystick Up Analog value,instant,Bluetooth GamePad Default.xlsx
down,Joystick Down Analog value,instant,Bluetooth GamePad Default.xlsx
N,Joystick Outer ring North zone,instant,Bluetooth GamePad Default.xlsx
NE,Joystick Outer ring North East zone,instant,Bluetooth GamePad Default.xlsx
E,Joystick Outer ring East zone,instant,Bluetooth GamePad Default.xlsx
SE,Joystick Outer ring South East zone,instant,Bluetooth GamePad Default.xlsx
S,Joystick Outer ring South zone,instant,Bluetooth GamePad Default.xlsx
SW,Joystick Outer ring South West zone,instant,Bluetooth GamePad Default.xlsx
W,Joystick Outer ring West zone,instant,Bluetooth GamePad Default.xlsx
NW,Joystick Outer ring North West zone,instant,Bluetooth GamePad Default.xlsx
N_inner,Joystick Inner ring North zone,delay,Bluetooth GamePad Default.xlsx
NE_inner,Joystick Inner ring North East zone,delay,Bluetooth GamePad Default.xlsx
E_inner,Joystick Inner ring East zone,delay,Bluetooth GamePad Default.xlsx
SE_inner,Joystick Inner ring South East zone,delay,Bluetooth GamePad Default.xlsx
S_inner,Joystick Inner ring South zone,delay,Bluetooth GamePad Default.xlsx
SW_inner,Joystick Inner ring South West zone,delay,Bluetooth GamePad Default.xlsx
W_inner,Joystick Inner ring West zone,delay,Bluetooth GamePad Default.xlsx
NW_inner,Joystick Inner ring North West zone,delay,Bluetooth GamePad Default.xlsx
digital_in_1,Input Jack - Tip to Shield,instant,Bluetooth GamePad Default.xlsx
digital_in_2,Input Jack - Ring to Shield,instant,Bluetooth GamePad Default.xlsx
digital_in_3,Input Jack - Ring to Diode to Tip,instant,Bluetooth GamePad Default.xlsx
digital_in_4,Input Jack - Tip to Diode to Ring,instant,Bluetooth GamePad Default.xlsx
digital_in_5,USB-A Data - to Gnd,instant,Bluetooth GamePad Default.xlsx
digital_in_6,USB-A Data + to Gnd,instant,Bluetooth GamePad Default.xlsx
digital_in_7,USB-A Data - to Vcc,instant,Bluetooth GamePad Default.xlsx
digital_in_8,USB-A Data + to Vcc,instant,Bluetooth GamePad Default.xlsx
digital_in_9,USB-A Data + to Diode to Data -,instant,Bluetooth GamePad Default.xlsx
digital_in_10,USB-A Data - to Diode to Data +,instant,Bluetooth GamePad Default.xlsx
digital_in_11,Output Jack - Tip to Shield,instant,Bluetooth GamePad Default.xlsx
digital_in_12,Output Jack - Ring to Shield,instant,Bluetooth GamePad Default.xlsx
digital_in_13,Output Jack - Tip to Diode to Ring,instant,Bluetooth GamePad Default.xlsx
digital_in_14,Output Jack - Ring to Diode to Tip,instant,Bluetooth GamePad Default.xlsx
dpad_up,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
dpad_down,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
